fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
3091,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,147.0,32.0,315.0,45.0,12.0,1.0,1.0,0.0,84.0,0.0,6.0,8.0,8.0,5.0,0.0,4.0,10.0,21.0,26.0,,3.0,,5.0,28.0,7.0,11.0,2.0,11.0,2.0,18.0,13.0,,7.0,,25.0,,,,,,,,,,,,,,,
3092,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,9.0,1.0,44.0,7.0,11.0,1.0,0.0,0.0,13.0,0.0,0.0,,20.0,18.0,4.0,4.0,23.0,24.0,,,4.0,,,,3.0,21.0,3.0,2.0,1.0,15.0,,,12.0,,,,,,,,,,,,,,,,,
3093,2025-03-31_Proof-of-concept-Olga2/,3-24H,68.0,172.0,67.0,386.0,41.0,7.0,134.0,2.0,28.0,47.0,23.0,22.0,8.0,8.0,5.0,0.0,5.0,6.0,3.0,15.0,18.0,4.0,4.0,5.0,12.0,11.0,17.0,8.0,15.0,21.0,2.0,22.0,4.0,18.0,24.0,6.0,,,,,,,,,,,,,,,
4001,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,19.0,2.0,53.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,1.0,19.0,8.0,4.0,4.0,,12.0,6.0,,,3.0,,11.0,20.0,19.0,31.0,22.0,,27.0,33.0,,,23.0,,28.0,,,,,,,,,,,,,,,
4002,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,9.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,,8.0,,4.0,,,4.0,,,4.0,,2.0,,15.0,,15.0,,,35.0,,,25.0,,35.0,,,,,,,,,,,,,,,
4003,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,8.0,1.0,56.0,0.0,4.0,0.0,0.0,0.0,35.0,1.0,0.0,9.0,11.0,4.0,4.0,,14.0,,,,2.0,19.0,,30.0,20.0,35.0,18.0,,19.0,,,,20.0,20.0,,,,,,,,,,,,,,,,
4004,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,24.0,85.0,79.0,14.0,1.0,1.0,0.0,1.0,23.0,11.0,1.0,24.0,8.0,21.0,4.0,4.0,6.0,19.0,,20.0,0.0,0.0,19.0,15.0,21.0,3.0,23.0,19.0,33.0,20.0,,19.0,15.0,17.0,20.0,,,,,,,,,,,,,,,
4005,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,67.0,54.0,252.0,13.0,8.0,3.0,6.0,0.0,29.0,0.0,3.0,,8.0,4.0,3.0,5.0,10.0,9.0,0.0,,2.0,,6.0,,11.0,18.0,12.0,21.0,20.0,27.0,28.0,,20.0,,27.0,,,,,,,,,,,,,,,
4006,2025-03-31_Proof-of-concept-Olga2/,3-24H,3.0,83.0,11.0,163.0,7.0,4.0,0.0,0.0,2.0,34.0,0.0,2.0,8.0,7.0,7.0,3.0,4.0,3.0,,,2.0,2.0,,6.0,27.0,11.0,16.0,9.0,23.0,26.0,,,20.0,17.0,,30.0,,,,,,,,,,,,,,,
4007,2025-03-31_Proof-of-concept-Olga2/,3-24H,5.0,24.0,6.0,135.0,7.0,3.0,55.0,0.0,2.0,51.0,1.0,3.0,9.0,8.0,5.0,4.0,4.0,8.0,2.0,,3.0,3.0,3.0,4.0,19.0,19.0,22.0,19.0,25.0,26.0,0.0,,29.0,22.0,36.0,20.0,,,,,,,,,,,,,,,
4008,2025-03-31_Proof-of-concept-Olga2/,3-24H,6.0,91.0,38.0,273.0,15.0,6.0,0.0,2.0,1.0,43.0,15.0,6.0,9.0,7.0,4.0,0.0,3.0,4.0,,2.0,13.0,0.0,2.0,4.0,21.0,14.0,20.0,11.0,25.0,19.0,,31.0,26.0,23.0,23.0,29.0,,,,,,,,,,,,,,,
4009,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,9.0,0.0,42.0,2.0,2.0,0.0,3.0,0.0,5.0,1.0,2.0,13.0,10.0,,4.0,9.0,4.0,,2.0,,2.0,2.0,5.0,26.0,22.0,,18.0,28.0,26.0,,21.0,,25.0,37.0,25.0,,,,,,,,,,,,,,,
4010,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,41.0,42.0,188.0,21.0,6.0,0.0,3.0,1.0,56.0,2.0,5.0,,7.0,4.0,3.0,5.0,4.0,,5.0,12.0,2.0,6.0,4.0,,19.0,18.0,16.0,18.0,21.0,,28.0,27.0,20.0,30.0,24.0,,,,,,,,,,,,,,,
